CuTa,S_NRT_NearField,S_NRT_FarField,SDC_Dmax,SDC_Cmax,SDC_Bmax,SDC_Bmin
0.25,0.936,0.779,1.93,0.96,0.64,0.32
0.30,1.020,0.775,1.94,0.97,0.65,0.32
0.35,0.939,0.761,1.97,0.99,0.66,0.33
0.40,0.901,0.748,2.00,1.00,0.67,0.33
0.45,0.886,0.749,2.00,0.89,0.59,0.30
0.50,0.855,0.736,2.04,0.82,0.54,0.27
0.60,0.833,0.602,2.49,0.83,0.55,0.28
0.70,0.805,0.537,2.40,0.80,0.53,0.27
0.80,0.739,0.449,2.50,0.83,0.56,0.28
0.90,0.633,0.399,2.50,0.83,0.56,0.28
1.00,0.571,0.348,2.59,0.86,0.58,0.29
1.20,0.476,0.301,2.49,0.83,0.55,0.28
1.40,0.404,0.256,2.51,0.84,0.56,0.28
1.60,0.356,0.208,2.70,0.90,0.60,0.30
1.80,0.319,0.168,2.98,0.99,0.66,0.33
2.00,0.284,0.148,3.05,1.02,0.68,0.34
2.20,0.258,0.133,3.08,1.03,0.68,0.34
2.40,0.230,0.118,3.18,1.06,0.71,0.35
2.60,0.210,0.106,3.28,1.09,0.73,0.36
2.80,0.190,0.091,3.53,1.18,0.79,0.39
3.00,0.172,0.080,3.75,1.25,0.83,0.42
3.50,0.132,0.063,4.10,1.37,0.91,0.46
4.00,0.104,0.052,4.29,1.43,0.95,0.48
4.50,0.086,0.046,4.34,1.45,0.96,0.48
5.00,0.072,0.041,4.43,1.48,0.98,0.49
