i,ID,name,normalizationFactor,Event,File,Completename
0,eq12011a,MUL009.AT2,0.65082,NORTHR,MUL009.AT2,NORTHR/MUL009.AT2
1,eq12011b,MUL279.AT2,0.65082,NORTHR,MUL279.AT2,NORTHR/MUL279.AT2
2,eq12012a,LOS000.AT2,0.83153,NORTHR,LOS000.AT2,NORTHR/LOS000.AT2
3,eq12012b,LOS270.AT2,0.83153,NORTHR,LOS270.AT2,NORTHR/LOS270.AT2
4,eq12041a,BOL000.AT2,0.6291,DUZCE,BOL000.AT2,DUZCE/BOL000.AT2
5,eq12041b,BOL090.AT2,0.6291,DUZCE,BOL090.AT2,DUZCE/BOL090.AT2
6,eq12052a,HEC000.AT2,1.09154,HECTOR,HEC000.AT2,HECTOR/HEC000.AT2
7,eq12052b,HEC090.AT2,1.09154,HECTOR,HEC090.AT2,HECTOR/HEC090.AT2
8,eq12061a,H-DLT262.AT2,1.31146,IMPVALL,H-DLT262.AT2,IMPVALL/H-DLT262.AT2
9,eq12061b,H-DLT352.AT2,1.31146,IMPVALL,H-DLT352.AT2,IMPVALL/H-DLT352.AT2
10,eq12062a,H-E11140.AT2,1.01385,IMPVALL,H-E11140.AT2,IMPVALL/H-E11140.AT2
11,eq12062b,H-E11230.AT2,1.01385,IMPVALL,H-E11230.AT2,IMPVALL/H-E11230.AT2
12,eq12071a,NIS000.AT2,1.03409,KOBE,NIS000.AT2,KOBE/NIS000.AT2
13,eq12071b,NIS090.AT2,1.03409,KOBE,NIS090.AT2,KOBE/NIS090.AT2
14,eq12072a,SHI000.AT2,1.09902,KOBE,SHI000.AT2,KOBE/SHI000.AT2
15,eq12072b,SHI090.AT2,1.09902,KOBE,SHI090.AT2,KOBE/SHI090.AT2
16,eq12081a,DZC180.AT2,0.68832,KOCAELI,DZC180.AT2,KOCAELI/DZC180.AT2
17,eq12081b,DZC270.AT2,0.68832,KOCAELI,DZC270.AT2,KOCAELI/DZC270.AT2
18,eq12082a,ARC000.AT2,1.3602,KOCAELI,ARC000.AT2,KOCAELI/ARC000.AT2
19,eq12082b,ARC090.AT2,1.3602,KOCAELI,ARC090.AT2,KOCAELI/ARC090.AT2
20,eq12091a,YER270.AT2,0.98652,LANDERS,YER270.AT2,LANDERS/YER270.AT2
21,eq12091b,YER360.AT2,0.98652,LANDERS,YER360.AT2,LANDERS/YER360.AT2
22,eq12092a,CLW-LN.AT2,1.14898,LANDERS,CLW-LN.AT2,LANDERS/CLW-LN.AT2
23,eq12092b,CLW-TR.AT2,1.14898,LANDERS,CLW-TR.AT2,LANDERS/CLW-TR.AT2
24,eq12101a,CAP000.AT2,1.08851,LOMAP,CAP000.AT2,LOMAP/CAP000.AT2
25,eq12101b,CAP090.AT2,1.08851,LOMAP,CAP090.AT2,LOMAP/CAP090.AT2
26,eq12102a,G03000.AT2,0.88027,LOMAP,G03000.AT2,LOMAP/G03000.AT2
27,eq12102b,G03090.AT2,0.88027,LOMAP,G03090.AT2,LOMAP/G03090.AT2
28,eq12111a,ABBAR--L.AT2,0.78717,MANJIL,ABBAR--L.AT2,MANJIL/ABBAR--L.AT2
29,eq12111b,ABBAR--T.AT2,0.78717,MANJIL,ABBAR--T.AT2,MANJIL/ABBAR--T.AT2
30,eq12121a,B-ICC000.AT2,0.86967,SUPERST,B-ICC000.AT2,SUPERST/B-ICC000.AT2
31,eq12121b,B-ICC090.AT2,0.86967,SUPERST,B-ICC090.AT2,SUPERST/B-ICC090.AT2
32,eq12122a,B-POE270.AT2,1.17436,SUPERST,B-POE270.AT2,SUPERST/B-POE270.AT2
33,eq12122b,B-POE360.AT2,1.17436,SUPERST,B-POE360.AT2,SUPERST/B-POE360.AT2
34,eq12132a,RIO270.AT2,0.81998,CAPEMEND,RIO270.AT2,CAPEMEND/RIO270.AT2
35,eq12132b,RIO360.AT2,0.81998,CAPEMEND,RIO360.AT2,CAPEMEND/RIO360.AT2
36,eq12141a,CHY101-E.AT2,0.41044,CHICHI,CHY101-E.AT2,CHICHI/CHY101-E.AT2
37,eq12141b,CHY101-N.AT2,0.41044,CHICHI,CHY101-N.AT2,CHICHI/CHY101-N.AT2
38,eq12142a,TCU045-E.AT2,0.95946,CHICHI,TCU045-E.AT2,CHICHI/TCU045-E.AT2
39,eq12142b,TCU045-N.AT2,0.95946,CHICHI,TCU045-N.AT2,CHICHI/TCU045-N.AT2
40,eq12151a,PEL090.AT2,2.09616,SFERN,PEL090.AT2,SFERN/PEL090.AT2
41,eq12151b,PEL180.AT2,2.09616,SFERN,PEL180.AT2,SFERN/PEL180.AT2
42,eq12171a,A-TMZ000.AT2,1.4401,FRIULI,A-TMZ000.AT2,FRIULI/A-TMZ000.AT2
43,eq12171b,A-TMZ270.AT2,1.4401,FRIULI,A-TMZ270.AT2,FRIULI/A-TMZ270.AT2
